"Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_Valorizables","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
2,0,2,4,0,0,0,90.4139306971725,94.1993862767545,90.9256440514256,0.866666666666667,0,1.13333333333333,1.13333333333333,0
2,1,3,4,0,0,0,100,100,100,0.0410958904109589,0,0.89041095890411,0.89041095890411,0
2,2,3,4,0,0,0,100,100,100,0.0176991150442478,0,0.504424778761062,0.504424778761062,0.00884955752212389
2,1,2,3,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.382352941176471,0,1.20588235294118,1.20588235294118,0.0294117647058824
2,0,2,4,0,1,0,100,100,100,0.523809523809524,0,2,2,0.0952380952380952
2,1,3,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.228260869565217,0,0.33695652173913,0.33695652173913,0
2,0,1,3,0,1,0,100,100,100,0.769230769230769,0,2.23076923076923,2.23076923076923,0.153846153846154
3,0,2,4,0,1,0,100,100,100,0.724137931034483,0,1,1,0.0344827586206897
3,0,2,3,0,0,1,100,100,100,3.75,0,5,5,0
2,0,1,4,0,1,0,100,100,100,1.5,0,5.5,5.5,0.5
2,0,2,4,0,1,2,100,100,100,0.661538461538462,0,1.2,1.2,0.0307692307692308
2,0,2,4,0,1,0,100,100,100,0.69811320754717,0,1.54716981132075,1.54716981132075,0.0377358490566038
2,0,2,4,0,0,1,90.4139306971725,94.1993862767545,90.9256440514256,1.08333333333333,0,2.58333333333333,2.58333333333333,0
2,0,2,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.6,0,1.25,1.25,0.05
2,0,2,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.588235294117647,0,0.764705882352941,0.764705882352941,0
3,0,1,4,0,1,2,66.6666666666667,100,66.6666666666667,0.636363636363636,0,1.47272727272727,1.47272727272727,0.0727272727272727
3,0,1,4,0,1,0,100,100,100,0.941176470588235,0,1.52941176470588,1.52941176470588,0.0294117647058824
3,0,1,4,0,1,0,100,100,100,0.894736842105263,0,2.15789473684211,2.15789473684211,0.0526315789473684
3,0,1,4,0,1,0,100,100,100,0.785714285714286,0,1.42857142857143,1.42857142857143,0.0714285714285714
3,0,0,4,0,1,0,100,100,100,1.18181818181818,0,2.27272727272727,2.27272727272727,0.0909090909090909
3,0,0,4,0,1,0,100,100,100,0.408163265306122,0,0.73469387755102,0.73469387755102,0
3,0,0,3,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.521739130434783,0,1.34782608695652,1.34782608695652,0.0434782608695652
3,0,0,3,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.76,0,1.48,1.48,0.12
3,0,0,4,0,1,3,100,100,100,0.869565217391304,0,1.56521739130435,1.56521739130435,0.0434782608695652
3,0,2,4,0,1,1,100,100,100,0.7,0,1.775,1.775,0.075
3,0,2,4,0,1,2,100,100,100,0.821428571428571,0,1.64285714285714,1.64285714285714,0.0714285714285714
3,0,2,4,0,1,0,100,100,50,0.75,0,2,2,0.03125
3,0,2,4,0,1,1,100,100,50,0.75,0,1.5625,1.5625,0.0416666666666667
2,0,1,4,0,1,0,100,100,100,0.5,0,1.29545454545455,1.29545454545455,0.0227272727272727
2,0,2,4,0,1,1,100,100,100,0.814814814814815,0,2,2,0.037037037037037
2,0,2,4,0,1,1,100,100,100,0.6875,0,1.6875,1.6875,0
2,0,2,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.553191489361702,0,1.19148936170213,1.19148936170213,0.0425531914893617
2,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.526315789473684,0,2.21052631578947,2.21052631578947,0.0526315789473684
3,0,1,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.449275362318841,0,1,1,0.0144927536231884
2,0,1,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.709090909090909,0,1.29090909090909,1.29090909090909,0
3,0,2,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.584615384615385,0,0.984615384615385,0.984615384615385,0.0153846153846154
3,0,1,4,0,1,0,50,100,100,0.685714285714286,0,1.31428571428571,1.31428571428571,0.0571428571428571
3,0,1,4,0,1,1,50,100,100,0.492063492063492,0,1.06349206349206,1.06349206349206,0.0158730158730159
3,0,0,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.433333333333333,0,0.933333333333333,0.933333333333333,0
3,0,1,1,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.56,0,1.92,1.92,0
3,0,0,4,0,1,2,100,100,100,0.625,0,1.25,1.25,0.0192307692307692
3,0,3,4,0,1,2,100,100,66.6666666666667,0.879781420765027,0,1.08196721311475,1.08196721311475,0.0273224043715847
3,0,3,4,0,1,1,66.6666666666667,100,100,0.411042944785276,0,1.14723926380368,1.14723926380368,0.0368098159509202
1,1,2,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.392857142857143,0.0357142857142857,1.21428571428571,1.21428571428571,0
1,0,2,0,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.655172413793103,0,1.51724137931034,1.51724137931034,0.0344827586206897
2,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.692307692307692,0,1.61538461538462,1.61538461538462,0
3,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.844827586206897,0,1.62068965517241,1.62068965517241,0.0689655172413793
3,0,2,3,0,1,2,100,100,100,0.444444444444444,0,1.61111111111111,1.61111111111111,0.0555555555555556
3,0,2,4,0,1,1,100,100,50,1,0,1.17307692307692,1.17307692307692,0.0576923076923077
3,0,2,4,0,1,0,100,100,100,0.98,0,1,1,0
3,0,1,3,0,1,1,100,100,100,0.515151515151515,0,0.787878787878788,0.787878787878788,0.0303030303030303
3,0,2,4,0,1,1,90.9090909090909,100,100,0.618421052631579,0,1.38157894736842,1.38157894736842,0.0657894736842105
3,0,2,4,0,1,1,100,100,100,1.1566265060241,0,1.16867469879518,1.16867469879518,0.0240963855421687
3,0,2,4,0,1,0,100,100,100,0.542553191489362,0,1.1063829787234,1.1063829787234,0.0106382978723404
2,0,2,4,0,1,1,100,100,100,1.11904761904762,0,1.21428571428571,1.21428571428571,0.0238095238095238
3,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.851063829787234,0,0.957446808510638,0.957446808510638,0
