"ID_MGN","inundaciones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
11797,0,3,0,1,4,1,1,100,100,100,0.833333333333333,0.791666666666667,3.625,0.291666666666667,0.166666666666667,1
11798,0,3,0,1,4,1,4,83.3333333333333,66.6666666666667,100,1.06666666666667,0.986666666666667,2.37333333333333,0.2,0.173333333333333,1
11799,0,3,0,0,4,1,1,100,91.6666666666667,100,1.38095238095238,1.28571428571429,4.38095238095238,0.285714285714286,0.19047619047619,1
11800,0,3,0,0,4,1,1,100,100,100,3.29411764705882,3.05882352941176,4.52941176470588,0.470588235294118,0.235294117647059,1
11801,0,3,0,1,4,1,0,100,100,100,1.45833333333333,1.25,2.33333333333333,0.291666666666667,0.208333333333333,1
11802,0,3,0,1,4,1,3,89.6551724137931,79.3103448275862,100,0.891666666666667,0.791666666666667,1.35833333333333,0.15,0.075,1
11803,0,2,0,1,4,1,2,86.9565217391304,73.9130434782609,100,0.867647058823529,0.823529411764706,1.52941176470588,0.147058823529412,0.0588235294117647,1
11804,0,3,0,1,4,1,1,87.0967741935484,77.4193548387097,100,0.916666666666667,0.895833333333333,1.58333333333333,0.4375,0.229166666666667,1
11805,0,3,0,0,4,1,0,90.9090909090909,84.8484848484848,100,1.72222222222222,1.66666666666667,3.77777777777778,0.388888888888889,0.333333333333333,1
11806,0,3,0,0,4,1,2,97.0588235294118,94.1176470588235,100,1.19512195121951,1.07317073170732,2.92682926829268,0.195121951219512,0.317073170731707,1
11807,0,3,0,0,4,1,2,100,91.304347826087,100,3.31578947368421,3.31578947368421,8.10526315789474,0.421052631578947,0.473684210526316,1
11808,0,3,0,0,4,1,0,96.7741935483871,96.7741935483871,96.7741935483871,2.44444444444444,2.2962962962963,4.74074074074074,0.296296296296296,0.185185185185185,1
11809,0,3,0,0,4,1,1,96.2962962962963,92.5925925925926,96.2962962962963,1.9,1.9,5.4,0.6,0.7,1
11810,0,3,0,0,4,1,1,100,95.4545454545455,100,0.777777777777778,0.666666666666667,2.08333333333333,0.222222222222222,0.138888888888889,1
11811,0,3,0,1,4,1,1,100,92.3076923076923,100,0.735294117647059,0.647058823529412,1.85294117647059,0.264705882352941,0.0588235294117647,1
11812,0,2,0,1,4,1,0,92.3076923076923,84.6153846153846,100,0.622950819672131,0.60655737704918,1.0327868852459,0.19672131147541,0.0819672131147541,1
11813,0,2,0,1,4,1,1,90.9090909090909,81.8181818181818,100,1.0952380952381,1,2.14285714285714,0.380952380952381,0.142857142857143,1
11814,0,2,0,1,4,1,2,86.9565217391304,73.9130434782609,91.304347826087,0.948717948717949,0.743589743589744,1.82051282051282,0.384615384615385,0.179487179487179,1
11815,0,2,0,1,4,1,1,91.304347826087,82.6086956521739,100,1.13888888888889,0.888888888888889,2.11111111111111,0.277777777777778,0.111111111111111,1
11816,0,3,0,1,4,1,1,92.5,87.5,100,0.655172413793103,0.586206896551724,2.17241379310345,0.896551724137931,0.241379310344828,1
11817,0,3,0,0,4,1,1,100,93.6170212765958,100,1.23809523809524,1.14285714285714,2,0.523809523809524,0.285714285714286,1
11818,0,3,0,0,4,1,0,100,92.3076923076923,100,2,2,26,5,2,1
11819,0,3,0,0,0,1,1,97.7777777777778,88.8888888888889,97.7777777777778,2.35294117647059,2.23529411764706,4.76470588235294,0.529411764705882,0.470588235294118,1
11820,0,3,0,0,0,1,2,94.4444444444444,86.1111111111111,97.2222222222222,2.28,2.28,4.08,0.36,0.4,1
11821,0,3,0,1,4,1,0,89.0909090909091,85.4545454545455,92.7272727272727,1.47058823529412,1.41176470588235,4.52941176470588,0.323529411764706,0.470588235294118,1
11822,0,3,0,0,4,1,0,80.9523809523809,85.7142857142857,88.0952380952381,15.8571428571429,14.5714285714286,18.7142857142857,2,1.28571428571429,1
11823,0,3,0,0,4,1,2,100,93.3333333333333,100,1,0.875,2.4375,0.1875,0.166666666666667,1
11824,0,3,0,1,4,1,1,100,83.3333333333333,100,1.09090909090909,1.03030303030303,2.51515151515152,0.242424242424242,0.0606060606060606,1
11825,0,2,0,1,4,1,3,92.8571428571429,78.5714285714286,100,0.731958762886598,0.618556701030928,1.10309278350515,0.154639175257732,0.0412371134020619,1
11826,0,3,0,1,4,1,1,90,80,90,0.706896551724138,0,1.1551724137931,0.224137931034483,0.0517241379310345,1
11827,0,3,0,1,4,1,1,83.3333333333333,50,83.3333333333333,0.861111111111111,0,1.36111111111111,0.222222222222222,0.0833333333333333,1
11828,1,2,0,1,4,1,0,71.4285714285714,57.1428571428571,85.7142857142857,2.20833333333333,0,3.29166666666667,0.583333333333333,0.125,2
11829,1,2,0,1,4,1,3,71.4285714285714,71.4285714285714,71.4285714285714,0.645161290322581,0,1.03225806451613,0.161290322580645,0.0537634408602151,2
11830,1,2,0,1,4,1,3,100,88.8888888888889,88.8888888888889,1.52597402597403,0.25974025974026,1.22727272727273,0.12987012987013,0.038961038961039,2
11831,1,2,0,1,4,1,2,100,100,100,0.0277777777777778,0,1.91666666666667,0.416666666666667,0.194444444444444,2
11832,0,3,0,0,4,1,0,91.4893617021277,80.8510638297872,92.5531914893617,1,0.896551724137931,3.58620689655172,0.655172413793103,0.482758620689655,1
11833,0,3,0,0,4,1,0,83.6734693877551,79.5918367346939,87.7551020408163,1.77272727272727,1.68181818181818,3.04545454545455,0.363636363636364,0.5,1
11834,0,3,0,0,4,1,1,81.0810810810811,78.3783783783784,86.4864864864865,2.6,2.53333333333333,4.06666666666667,0.533333333333333,0.8,1
11835,0,3,0,0,4,1,0,79.1666666666667,91.6666666666667,87.5,0.333333333333333,0.333333333333333,5.16666666666667,1.5,1.16666666666667,1
11836,0,3,0,0,4,1,1,82.6086956521739,91.304347826087,91.304347826087,3.33333333333333,3,4.33333333333333,1.16666666666667,0.5,1
11837,0,3,0,0,4,1,2,88,96,92,1.33333333333333,1.15151515151515,2,0.348484848484849,0.257575757575758,1
11838,0,3,0,0,4,1,1,100,100,100,0.725,0.525,2.35,0.275,0.15,1
11839,0,3,0,1,5,1,7,81.8181818181818,100,90.9090909090909,0.707006369426752,0.509554140127389,1.20700636942675,0.146496815286624,0.0509554140127389,1
11840,0,3,0,3,5,1,7,92.5925925925926,77.7777777777778,100,0.468468468468468,0.202702702702703,0.414414414414414,0.153153153153153,0.0495495495495495,1
11841,1,3,0,1,4,1,2,83.3333333333333,75,91.6666666666667,0.641025641025641,0,2.74358974358974,0.41025641025641,0.128205128205128,2
11842,1,3,0,1,4,1,2,90,70,90,0.794520547945205,0,1.35616438356164,0.191780821917808,0.0273972602739726,2
11843,1,3,0,1,4,1,2,85.7142857142857,71.4285714285714,100,0.686567164179104,0,1.23880597014925,0.223880597014925,0.0597014925373134,2
11844,1,3,0,1,4,1,2,66.6666666666667,66.6666666666667,100,1.2962962962963,0,0.901234567901235,0.246913580246914,0.0617283950617284,2
11846,1,2,0,1,4,1,0,100,100,100,0.340909090909091,0,1.22727272727273,0.204545454545455,0.0681818181818182,2
11847,0,3,0,1,4,1,2,96.1165048543689,86.4077669902913,97.0873786407767,1.21428571428571,0.928571428571429,1.80952380952381,0.547619047619048,0.238095238095238,1
11848,0,3,0,0,4,1,0,91.2280701754386,78.9473684210526,92.9824561403509,2.16,1.88,3.4,0.4,0.52,1
11849,0,3,0,1,5,1,1,82.8571428571429,82.8571428571429,85.7142857142857,0.811320754716981,0.509433962264151,1.69811320754717,0.245283018867925,0.283018867924528,1
11850,0,3,0,1,5,1,0,90.4761904761905,85.7142857142857,80.9523809523809,1.05,0.85,3.625,0.275,0.4,1
11851,0,3,0,1,5,1,4,89.4736842105263,86.8421052631579,86.8421052631579,1.06521739130435,0.826086956521739,3.3695652173913,0.239130434782609,0.478260869565217,1
11852,0,3,0,1,5,1,2,89.2857142857143,89.2857142857143,89.2857142857143,0.0212765957446809,0.0212765957446809,2.17021276595745,0.276595744680851,0.297872340425532,1
11853,1,3,0,1,4,1,2,90,90,100,0.653465346534653,0,0.881188118811881,0.138613861386139,0.0495049504950495,2
11854,1,3,0,1,4,1,4,50,100,100,0.03,0,1.11,0.21,0.05,2
11855,0,3,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.560975609756098,0,0.902439024390244,0.219512195121951,0,1
11856,1,3,0,3,5,1,3,93.75,87.5,100,0.386138613861386,0,0.841584158415842,0.495049504950495,0.128712871287129,2
11857,0,3,0,0,4,1,1,94.6666666666667,81.3333333333333,97.3333333333333,2.81818181818182,2.63636363636364,4.18181818181818,0.636363636363636,0.545454545454545,1
11858,1,3,0,0,4,1,1,90,75,96.25,1.30769230769231,0.461538461538462,3.38461538461538,0.346153846153846,0.346153846153846,2
11859,0,3,0,0,4,1,0,81.0810810810811,67.5675675675676,89.1891891891892,0.914285714285714,0.4,2.57142857142857,0.257142857142857,0.114285714285714,1
11860,1,3,0,1,5,1,2,88.8888888888889,77.7777777777778,81.4814814814815,0.766233766233766,0,1.07792207792208,0.168831168831169,0.0909090909090909,2
11861,0,3,0,1,4,1,3,83.3333333333333,83.3333333333333,100,0.644295302013423,0,0.959731543624161,0.154362416107383,0.0402684563758389,1
11862,0,2,2,3,4,1,3,100,100,100,0.886792452830189,0,1.12264150943396,0.207547169811321,0.0471698113207547,3
11863,0,2,0,3,4,1,0,100,100,100,1,0,14.3333333333333,3.33333333333333,0.333333333333333,1
11864,0,0,2,3,5,1,0,100,100,100,0.9375,0,0.9375,0.21875,0.03125,3
11865,0,2,2,3,5,1,0,50,50,50,0.833333333333333,0,1.375,0.3125,0.0625,1
11866,0,3,0,0,4,1,0,92.4242424242424,75.7575757575758,100,1,1,4.5,1.5,1,1
11867,1,3,0,0,4,1,2,89.3617021276596,74.468085106383,100,0.344827586206897,0,2.27586206896552,0.275862068965517,0.0689655172413793,2
11868,0,2,0,3,2,1,4,100,100,100,0.3875,0,0.8875,0.15,0.025,1
11869,0,2,2,3,4,1,3,100,100,100,0.649122807017544,0,1.00877192982456,0.149122807017544,0.0263157894736842,3
11870,0,0,2,2,4,1,0,100,100,100,0.892857142857143,0,2.14285714285714,0.285714285714286,0.0357142857142857,3
11871,0,0,2,2,4,1,0,50,50,50,0.962962962962963,0,1.55555555555556,0.259259259259259,0.0740740740740741,1
11872,0,0,2,2,3,1,0,100,100,100,0.513513513513513,0,1.16216216216216,0.108108108108108,0.027027027027027,3
11873,0,0,2,2,0,1,0,100,100,100,0.517241379310345,0,1.06896551724138,0,0.0344827586206897,3
