"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47195,3,0,2,4,1,2,40,80,80,0.156626506024096,1.37349397590361,0.168674698795181,0.036144578313253,1
47196,3,0,1,4,1,9,100,83.3333333333333,100,0.896907216494845,1.12371134020619,0.185567010309278,0.0824742268041237,1
47197,3,0,2,4,1,6,94.7368421052632,89.4736842105263,100,0.141025641025641,1.64102564102564,0.230769230769231,0.0384615384615385,1
47198,3,0,2,4,1,4,100,100,100,0.978947368421053,1.21052631578947,0.168421052631579,0.0315789473684211,1
47199,3,0,2,4,1,2,50,100,100,0.803921568627451,1.86274509803922,0.176470588235294,0.0392156862745098,1
47200,3,0,2,4,1,0,50,100,100,0.0333333333333333,2.53333333333333,0.233333333333333,0.0666666666666667,1
47201,3,0,1,3,1,1,75,91.6666666666667,75,0.0804597701149425,1.42528735632184,0.149425287356322,0.0459770114942529,2
47202,3,0,1,0,1,0,50,50,100,0.794117647058823,1.55882352941176,0.235294117647059,0.0294117647058824,1
47204,3,0,1,0,1,1,100,100,100,0.560975609756098,1.19512195121951,0.219512195121951,0.024390243902439,2
47205,3,0,1,0,1,0,75,100,100,1.175,1.6,0.175,0.025,1
47206,3,0,1,3,1,0,75,100,100,0.861111111111111,2.02777777777778,0.222222222222222,0.0555555555555556,1
47207,3,0,1,4,1,4,70,90,90,0.844086021505376,1.52150537634409,0.209677419354839,0.0591397849462366,2
47208,3,0,1,0,1,1,100,100,100,2.36363636363636,3.63636363636364,0.545454545454545,0.181818181818182,2
47209,3,0,1,4,1,11,85.7142857142857,100,100,0.626794258373206,1.44019138755981,0.296650717703349,0.0526315789473684,1
47210,3,0,1,3,1,1,100,100,100,0.568181818181818,1.29545454545455,0.227272727272727,0.0454545454545455,2
47211,3,0,2,4,1,0,100,100,100,0.777777777777778,1.47222222222222,0.222222222222222,0.0555555555555556,1
47212,3,0,2,3,1,2,50,100,100,1.01923076923077,1.38461538461538,0.211538461538462,0.0576923076923077,1
47213,3,0,1,3,1,3,100,100,100,0.148648648648649,1.35135135135135,0.148648648648649,0.0675675675675676,2
47214,3,0,3,4,1,3,100,84.6153846153846,100,0.376623376623377,0.987012987012987,0.233766233766234,0.0746753246753247,1
47215,3,0,1,4,1,1,100,84.6153846153846,100,0.758620689655172,1.93103448275862,0.206896551724138,0.0344827586206897,2
47216,3,0,1,4,1,0,100,84.6153846153846,100,1.08333333333333,3.08333333333333,0.5,0.666666666666667,2
47217,3,0,2,4,1,7,97.6190476190476,85.7142857142857,97.6190476190476,0.745341614906832,1.13664596273292,0.15527950310559,0.118012422360248,1
47218,3,0,2,4,1,3,100,100,100,0.795918367346939,2.14285714285714,0.244897959183673,0.0408163265306122,1
47219,3,0,1,4,1,3,87.8787878787879,93.9393939393939,93.9393939393939,1.11515151515152,1.33939393939394,0.121212121212121,0.0666666666666667,2
47220,3,0,1,4,1,1,66.6666666666667,100,66.6666666666667,3.01694915254237,1.25423728813559,0.11864406779661,0.0677966101694915,2
47221,3,0,1,3,1,1,93.3333333333333,86.6666666666667,93.3333333333333,0.0384615384615385,1.94230769230769,0.134615384615385,0.0576923076923077,2
47222,3,0,1,4,1,5,83.8709677419355,74.1935483870968,90.3225806451613,0.854838709677419,1.59677419354839,0.120967741935484,0.104838709677419,2
47223,3,0,1,3,1,3,76.9230769230769,92.3076923076923,84.6153846153846,0.892857142857143,1.55357142857143,0.232142857142857,0.0357142857142857,2
47224,3,0,1,3,1,2,75,100,100,0.785714285714286,2.89285714285714,0.321428571428571,0.0714285714285714,1
47225,3,0,1,0,1,0,75,100,100,0.92,2.92,0.32,0.04,1
47226,3,0,1,0,1,0,100,100,100,0.947368421052632,1.78947368421053,0.210526315789474,0,2
47227,3,0,1,4,1,0,100,100,100,0.78125,1.5,0.3125,0.0625,2
47228,3,0,2,4,1,2,100,100,100,0.633333333333333,1.43333333333333,0.266666666666667,0.0333333333333333,1
47230,3,0,2,4,1,0,75,100,100,0.933333333333333,1.03809523809524,0.180952380952381,0.019047619047619,1
47231,3,0,2,4,1,0,100,100,100,0.588235294117647,0.970588235294118,0.176470588235294,0.0294117647058824,1
47232,3,0,2,4,1,3,86.268032209008,86.485919736114,94.0033444054856,0.465346534653465,0.871287128712871,0.108910891089109,0.0396039603960396,1
47233,2,0,2,3,1,0,100,100,100,0.824561403508772,1.03508771929825,0.0789473684210526,0.0175438596491228,1
47234,2,1,2,4,1,2,100,100,100,0.6,2.5,0.6,0.05,1
47235,2,0,2,4,1,1,100,100,100,0.634146341463415,1.51219512195122,0.170731707317073,0.0487804878048781,1
47236,2,0,2,4,1,1,100,100,100,0.863636363636364,2.04545454545455,0.272727272727273,0.0909090909090909,1
47237,2,0,2,4,1,2,100,85.7142857142857,100,1.36842105263158,2.73684210526316,0.368421052631579,0.157894736842105,1
47238,2,1,2,4,1,0,100,100,100,0.892857142857143,1.82142857142857,0.214285714285714,0.0535714285714286,1
47239,2,1,2,3,1,3,91.6666666666667,100,100,0.688524590163934,1.73770491803279,0.19672131147541,0.0491803278688525,1
47240,2,1,2,4,1,11,91.6666666666667,95.8333333333333,100,0.660944206008584,0.969957081545064,0.120171673819742,0.0386266094420601,3
47241,1,1,2,4,1,0,100,100,100,1.125,2.875,0.75,0.125,1
47242,2,1,2,4,1,1,100,100,100,0.5,0.90625,0.28125,0.0625,1
47243,2,0,2,23,1,4,94.7368421052632,94.7368421052632,100,0.710526315789474,1.47368421052632,0.289473684210526,0.263157894736842,1
47244,3,0,2,0,1,1,90.9090909090909,100,100,1.5,2.5,0.4,0.1,1
47245,3,0,2,4,1,3,100,75,100,0.936507936507937,1.68253968253968,0.238095238095238,0.0952380952380952,1
47246,3,0,2,0,1,1,100,85.7142857142857,100,0.961538461538462,1.92307692307692,0.25,0.115384615384615,1
47247,3,0,1,4,1,0,86.268032209008,86.485919736114,94.0033444054856,0.565217391304348,1.60869565217391,0.130434782608696,0.130434782608696,2
47248,3,1,2,4,1,3,90,90,100,1.97674418604651,1.81395348837209,0.162790697674419,0.0930232558139535,1
47249,3,0,2,4,1,3,93.75,100,100,0.611764705882353,1.32941176470588,0.211764705882353,0.0588235294117647,1
