"Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","conexiones_agua_edific","postes_edific","transformadores_edific"
3,0,1,0,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.941176470588235,3.70588235294118,0
3,0,2,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.645833333333333,3.02083333333333,0.354166666666667
1,0,2,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.55,3,0.6
2,0,2,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.666666666666667,1.97777777777778,0.466666666666667
1,0,1,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.628571428571429,1.42857142857143,0.257142857142857
3,1,3,4,1,3,85.6603773584906,85.6603773584906,58.4905660377358,0.464646464646465,2.91919191919192,0.909090909090909
3,0,3,4,1,7,83.6206896551724,83.6206896551724,83.6206896551724,0.522058823529412,2.36029411764706,0.757352941176471
3,2,3,4,1,5,77.511961722488,74.4019138755981,90.9090909090909,0.489130434782609,2.69565217391304,0.5
3,1,3,4,1,3,78.391959798995,78.391959798995,100,0.134078212290503,0.564245810055866,0.0893854748603352
3,0,0,4,1,0,100,100,62.8865979381443,1.30769230769231,8.69230769230769,0.384615384615385
3,0,1,4,1,2,100,54.1353383458647,45.8646616541353,0.774193548387097,3.61290322580645,0.564516129032258
3,0,3,4,1,4,100,100,100,0.451807228915663,2.65060240963855,0.301204819277108
2,0,2,4,1,2,94.9918173474551,83.4212430839292,95.9547579574305,0.866666666666667,2.66666666666667,0.444444444444444
2,1,3,4,1,6,100,100,100,0.0571428571428571,2.05,0.357142857142857
3,1,3,4,1,9,100,86.8131868131868,100,0.629032258064516,1.82258064516129,0.362903225806452
3,1,3,4,1,1,100,100,100,0.641025641025641,2.56410256410256,0.393162393162393
1,1,0,4,1,0,100,100,100,0.842105263157895,4.31578947368421,0.789473684210526
1,1,2,4,1,1,100,100,100,0.576271186440678,3.66101694915254,0.559322033898305
1,1,1,3,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.724137931034483,4.27586206896552,0.551724137931034
1,1,1,3,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.782608695652174,3.04347826086957,0.782608695652174
3,2,3,4,1,5,78.0346820809249,70.5202312138728,78.0346820809249,0.480565371024735,1.60070671378092,0.300353356890459
3,2,3,4,1,0,39.1304347826087,25,100,1.66666666666667,5.33333333333333,0.166666666666667
1,1,2,4,1,4,100,84.7715736040609,100,0.025,2.0375,0.45
2,1,2,4,1,0,100,70,100,0.102564102564103,3.20512820512821,0.538461538461538
2,0,2,4,1,0,100,100,100,0.75,2.78571428571429,0.714285714285714
1,0,1,4,1,1,100,100,100,0.75,2.17857142857143,1
2,1,2,4,1,1,100,100,100,0.42,1.98,0.43
3,1,3,4,1,4,100,100,100,0,1.77922077922078,0.279220779220779
1,0,2,4,1,0,100,100,100,0,6.66666666666667,1.22222222222222
2,1,2,4,1,0,100,100,100,0,2.42222222222222,0.511111111111111
2,1,3,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0,2.1875,0.225
2,1,1,3,1,2,94.9918173474551,83.4212430839292,95.9547579574305,0,3.35416666666667,0.4375
2,1,1,0,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0,5.58333333333333,0
3,1,3,4,1,10,100,80.1169590643275,94.6393762183236,0.558823529411765,2.28676470588235,0.522058823529412
2,1,3,4,1,0,100,100,14.0625,0.682926829268293,2.63414634146341,0.48780487804878
1,1,3,4,1,3,100,100,88.2978723404255,0.693333333333333,2.33333333333333,0.373333333333333
