"ID_MGN","inundaciones","RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Electricidad_medidoresIntel_edific","Electricidad_postes_edific","Electricidad_transform_edific","cluster"
26666,1,0,3,0,2,4,1,0,100,100,100,0.826666666666667,0.173333333333333,0.06,1
26668,1,0,3,0,2,0,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.79310344827586,0.310344827586207,0.137931034482759,1
26669,1,0,3,0,2,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.9047619047619,0.428571428571429,0.142857142857143,1
26670,1,0,3,0,2,4,1,1,100,100,100,1.21428571428571,0.238095238095238,0.0476190476190476,1
26671,1,0,3,0,1,4,1,0,87.5,75,93.75,1.35849056603774,0.113207547169811,0.0377358490566038,1
26693,1,1,2,0,3,4,1,2,91.6666666666667,66.6666666666667,91.6666666666667,1.28125,0.21875,0.046875,1
26703,1,1,3,0,2,4,1,5,95,70,95,1.07291666666667,0.270833333333333,0.0520833333333333,1
26704,1,1,2,0,3,4,1,0,93.75,81.25,93.75,0.401234567901235,0.259259259259259,0.0555555555555556,1
26735,1,1,3,0,1,4,1,2,85.7142857142857,76.1904761904762,90.4761904761905,1.25,0.5,0.5,1
26746,1,1,3,0,1,4,1,2,92.5925925925926,77.7777777777778,96.2962962962963,1.0561797752809,0.134831460674157,0.0449438202247191,1
26747,1,1,3,0,1,4,1,2,88.4615384615385,80.7692307692308,92.3076923076923,1.5531914893617,0.25531914893617,0.170212765957447,1
26672,1,0,2,0,2,4,1,1,100,100,100,1.38461538461538,0.307692307692308,0.153846153846154,1
26675,1,0,2,0,2,3,1,0,100,100,100,1.375,0.178571428571429,0.0178571428571429,1
26676,1,0,2,0,2,3,1,2,50,50,100,3.31818181818182,0.454545454545455,0.136363636363636,1
26677,1,0,1,0,2,0,1,1,50,50,100,1.46808510638298,0.276595744680851,0.0851063829787234,1
26678,1,0,2,0,2,3,1,0,100,100,100,1.42105263157895,0.315789473684211,0.0526315789473684,1
26679,1,0,2,0,2,3,1,1,100,100,100,0.930232558139535,0.27906976744186,0.0930232558139535,1
26680,1,1,2,0,2,4,1,1,100,72.7272727272727,100,1.54347826086957,0.565217391304348,0.260869565217391,1
26685,1,1,2,0,3,4,1,2,77.7777777777778,88.8888888888889,100,0.661538461538462,0.215384615384615,0.0461538461538462,1
26686,1,0,2,0,1,3,1,2,100,100,100,1.625,0.5,0.125,1
26687,1,0,2,0,1,0,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.31818181818182,0.272727272727273,0.0454545454545455,1
26688,1,0,2,0,1,0,1,0,100,100,100,2,0.3,0.1,1
26689,1,0,2,0,1,4,1,0,100,75,100,1.33707865168539,0.269662921348315,0.0674157303370786,1
26690,1,0,2,0,1,4,1,1,33.3333333333333,66.6666666666667,66.6666666666667,1.3448275862069,0.344827586206897,0.0344827586206897,1
26691,1,0,3,0,1,4,1,0,33.3333333333333,66.6666666666667,66.6666666666667,1.78260869565217,0.304347826086957,0,1
26692,1,0,3,0,1,4,1,2,100,81.8181818181818,100,0.967391304347826,0.239130434782609,0.0434782608695652,1
26694,1,0,2,0,3,4,1,4,71.4285714285714,42.8571428571429,100,1.08720930232558,0.354651162790698,0.0988372093023256,1
26696,1,0,3,0,1,4,1,1,54.5454545454545,45.4545454545455,63.6363636363636,1,0.27906976744186,0.0581395348837209,1
26698,1,0,2,0,1,4,1,0,37.5,37.5,50,1.24,0.4,0.12,1
26699,1,0,2,0,1,4,1,1,37.5,37.5,50,2.15384615384615,0.461538461538462,0.153846153846154,1
26700,1,0,3,0,1,4,1,1,90.9090909090909,72.7272727272727,100,1.21428571428571,0.428571428571429,0.142857142857143,1
26701,1,0,3,0,1,0,1,0,91.6666666666667,75,100,2,0.833333333333333,0,1
26710,1,0,3,1,3,4,1,0,42.8571428571429,42.8571428571429,42.8571428571429,0.875,0.284722222222222,0.0555555555555556,1
26715,1,0,3,0,2,4,1,1,100,100,100,2.14814814814815,0.296296296296296,0.0740740740740741,1
26716,1,0,2,0,2,4,1,0,100,100,100,1.41025641025641,0.256410256410256,0.0769230769230769,1
26722,1,0,3,0,1,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.9047619047619,0.380952380952381,0.0952380952380952,1
26723,1,0,3,0,1,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.86666666666667,0.4,0,1
26724,1,0,3,1,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.06666666666667,0.4,0.133333333333333,1
26725,1,0,2,1,2,4,1,0,100,100,100,1.38095238095238,0.333333333333333,0,1
26726,1,0,2,1,2,0,1,0,100,100,100,3.33333333333333,1.08333333333333,0.166666666666667,1
26727,1,1,2,1,3,4,1,0,88.8888888888889,88.8888888888889,100,1.4025974025974,0.233766233766234,0.051948051948052,1
26736,1,0,3,0,1,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,2.18181818181818,0.454545454545455,0.0909090909090909,1
26737,1,0,3,0,2,4,1,1,50,100,50,0.891891891891892,0.22972972972973,0.0675675675675676,1
26748,1,0,3,0,1,4,1,2,70.8333333333333,62.5,79.1666666666667,0.892156862745098,0.352941176470588,0.107843137254902,1
26930,1,0,3,1,3,0,1,1,60,60,60,0.452513966480447,0.106145251396648,0.0335195530726257,1
